id,name,group,keywords_and_phrases,clarify_questions,challenge_questions,curious_response,direct_response,deescalating_response
1,Appeal to Ignorance,Evidence,can't prove | cannot prove | no proof | not disproven | prove it isn't | prove it is not | absence of evidence,"Are you treating missing proof as proof of the opposite? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?",What evidence makes this conclusion more likely than the strongest alternative explanation? | Ask what evidence actually supports the claim. Lack of disproof is not proof.,What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
2,Shifting the Burden of Proof,Evidence,prove you didn't | prove you did not | prove you're not | prove you are not | disprove it | show me i'm wrong | show me I’m wrong | you prove it,"Who made the factual claim, and what evidence did that person provide first? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?",What evidence makes this conclusion more likely than the strongest alternative explanation? | The person making the factual claim should identify the evidence for it.,What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
3,Demanding Impossible Proof,Evidence,prove you never | prove your intent | prove what you would have done | prove you'll never | prove you will never | guarantee you'll never | guarantee you will never,"Is the requested proof realistically possible for a private intention, hypothetical, or 'never' claim? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Replace impossible certainty with reasonable evidence, observable behavior, and clear future agreements.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
4,Appeal to Authority,Evidence,therapist said | doctor said | expert said | lawyer said | book says | article says | professional said | authority says,"What reasons or evidence support the authority's opinion besides their status? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Use expertise as input, not as a substitute for reasoning. Ask what the conclusion is based on.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
5,Appeal to Popularity,Evidence,everyone says | everybody says | all my friends | most people | people online | everyone agrees | everybody agrees | normal people,"Would the claim still be supported if nobody else agreed with it? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Popularity can reveal norms, but it does not prove what happened or what agreement is right for a particular couple.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
6,Anecdotal Fallacy,Evidence,one time | once | last two times | a couple times | a few times | in my experience | i know someone | my friend did,"How many examples are there, and are they representative of the larger set? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Treat examples as data points, then check whether the wider pattern supports the same conclusion.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
7,Hasty Generalization,Evidence,one time so | once so | this happened once | therefore always | so you're always | so you are always | one example proves | one incident proves,"Is a broad conclusion being drawn from too few cases? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Slow down the leap from one event to a global conclusion. Ask how often, under what conditions, and with what exceptions.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
8,Texas Sharpshooter Fallacy,Evidence,these examples prove | look at these cases | all these examples | the pattern is obvious | picked examples | cluster of examples | only these cases,"Was the pattern defined before the examples were selected, or after? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Define the pattern first, then examine all relevant cases instead of drawing the target around the cases that fit.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
9,Cherry-Picking,Evidence,only the times | only the examples | leave out | left out | omit | omitted | ignore the times | ignoring contrary | cherry pick | cherry-pick,"What relevant evidence points the other way or was left out? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Ask what evidence would complicate the story, not only what evidence confirms it.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
10,False Cause,Evidence,because it happened after | ever since | after that so | therefore caused | caused by | made this happen | that's why | that is why,"What shows that A caused B rather than merely occurring before or alongside it? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Separate sequence from causation. Look for alternative causes, repeated patterns, and direct mechanisms.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
